id,name,bred_for,breed_group,weight,height,life_span,temperament,origin,image
207,Rat Terrier,Unknown,Terrier,4 - 11,25 - 33,12 - 18 years,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",Unknown,https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg
208,Redbone Coonhound,"Hunting raccoon, deer, bear, and cougar.",Hound,20 - 36,53 - 69,10 - 12 years,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",Unknown,https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg
209,Rhodesian Ridgeback,"Big game hunting, guarding",Hound,34 - 36,61 - 69,10 - 12 years,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",Unknown,https://cdn2.thedogapi.com/images/By9zNgqE7.jpg
210,Rottweiler,"Cattle drover, guardian, draft",Working,34 - 50,56 - 69,8 - 10 years,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",Unknown,https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg
211,Russian Toy,Unknown,Toy,1 - 3,19 - 27,10 - 12 years,Unknown,Unknown,https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg
212,Saint Bernard,"Draft, search, rescue",Working,59 - 82,65 - 70,7 - 10 years,"Friendly, Lively, Gentle, Watchful, Calm",Unknown,https://cdn2.thedogapi.com/images/_Qf9nfRzL.jpg
213,Saluki,Coursing gazelle and hare,Hound,16 - 29,58 - 71,12 - 14 years,"Aloof, Reserved, Intelligent, Quiet",Unknown,https://cdn2.thedogapi.com/images/fjFIuehNo.jpg
214,Samoyed,"Herding reindeer, guardian, draft",Working,23 - 27,48 - 60,12 - 14 years,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",Unknown,https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg
216,Schipperke,Barge watchdog,Non-Sporting,5 - 7,25 - 33,13 - 15 years,"Fearless, Agile, Curious, Independent, Confident, Faithful",Unknown,https://cdn2.thedogapi.com/images/SyBvVgc47.jpg
218,Scottish Deerhound,Coursing deer,Hound,32 - 59,71 - 81,8 - 10 years,"Docile, Friendly, Dignified, Gentle",Unknown,https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg
219,Scottish Terrier,Vermin hunting,Terrier,8 - 10,25,11 - 13 years,"Feisty, Alert, Independent, Playful, Quick, Self-assured",Unknown,https://cdn2.thedogapi.com/images/Bklnce5NX.jpg
221,Shetland Sheepdog,Sheep herding,Herding,14,33 - 41,12 - 14 years,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",Unknown,https://cdn2.thedogapi.com/images/rJa29l9E7.jpg
222,Shiba Inu,"Hunting in the mountains of Japan, Alert Watchdog",Non-Sporting,8 - 10,34 - 42,12 - 16 years,"Charming, Fearless, Keen, Alert, Confident, Faithful",Unknown,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg
223,Shih Tzu,Lapdog,Toy,4 - 7,20 - 28,10 - 18 years,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",Unknown,https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg
225,Shiloh Shepherd,"Swimming, Carrying backpacks, Pulling carts or sleds",Unknown,54 - 64,66 - 76,9 – 14 years,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",Unknown,https://cdn2.thedogapi.com/images/SJJxjecEX.jpg
226,Siberian Husky,Sled pulling,Working,16 - 27,51 - 60,12 years,"Outgoing, Friendly, Alert, Gentle, Intelligent",Unknown,https://cdn2.thedogapi.com/images/S17ZilqNm.jpg
228,Silky Terrier,"Small vermin hunting, companionship",Toy,4 - 5,23 - 25,12 - 15 years,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",Unknown,https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg
232,Smooth Fox Terrier,Fox bolting,Terrier,NaN - 8,39,12 - 14 years,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",Unknown,https://cdn2.thedogapi.com/images/Syszjx9Em.jpg
233,Soft Coated Wheaten Terrier,"Vermin hunting, guarding, all-around farm helper",Terrier,14 - 18,41 - 46,12 - 15 years,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",Unknown,https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg
235,Spanish Water Dog,Herding flocks of sheep and goats from one pasture to another,Sporting,14 - 23,41 - 51,12 - 15 years,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",Unknown,https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg
236,Spinone Italiano,Unknown,Sporting,28 - 39,57 - 70,10 - 12 years,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",Unknown,https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg
